"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","7.缺少必填参数currentPage","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_find","",""
"","107","查询用户权限-缺少Cookie","testcase.Business Scenario","Sun Jun 15 00:03:35 CST 2025","passed","Sun Jun 15 00:03:35 CST 2025","TestUserManager","test_user_permissions","",""
"","87","手机号码位数不足","testcase.Single.UserManagement","Sun Jun 15 00:03:38 CST 2025","passed","Sun Jun 15 00:03:38 CST 2025","TestUserManager","test_user_login","",""
"","227","查询用户权限-普通用户","testcase.Business Scenario","Sun Jun 15 00:03:34 CST 2025","passed","Sun Jun 15 00:03:34 CST 2025","TestUserManager","test_user_permissions","",""
"","114","6.分页查询-每页5条","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_find","",""
"","232","2新增课程","testcase.Business Scenario","Sun Jun 15 00:03:31 CST 2025","passed","Sun Jun 15 00:03:31 CST 2025","TestEBusinessScenario","test_course_scenario","",""
"","12","9.每页条数小于1","testcase.Single.UserManagement","Sun Jun 15 00:03:36 CST 2025","passed","Sun Jun 15 00:03:36 CST 2025","TestUserManager","test_user_find","",""
"","90","用户登录","testcase.Business Scenario","Sun Jun 15 00:03:34 CST 2025","passed","Sun Jun 15 00:03:34 CST 2025","TestUserManager","test_user_permissions","",""
"","31","10.页码超出范围","testcase.Single.UserManagement","Sun Jun 15 00:03:36 CST 2025","passed","Sun Jun 15 00:03:36 CST 2025","TestUserManager","test_user_find","",""
"","128","查询用户权限-缺少Authorization","testcase.Business Scenario","Sun Jun 15 00:03:35 CST 2025","broken","Sun Jun 15 00:03:35 CST 2025","TestUserManager","test_user_permissions","",""
"","90","手机号码为空","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:38 CST 2025","TestUserManager","test_user_login","",""
"","101","2.查询第二页用户列表","testcase.Single.UserManagement","Sun Jun 15 00:03:35 CST 2025","passed","Sun Jun 15 00:03:36 CST 2025","TestUserManager","test_user_find","",""
"","125","3修改课程","testcase.Business Scenario","Sun Jun 15 00:03:31 CST 2025","passed","Sun Jun 15 00:03:31 CST 2025","TestEBusinessScenario","test_course_scenario","",""
"","32","9.请求参数为空","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_find","",""
"","93","5.分页查询-第二页","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","failed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_find","",""
"","101","查询用户权限-无效Cookie","testcase.Business Scenario","Sun Jun 15 00:03:35 CST 2025","passed","Sun Jun 15 00:03:35 CST 2025","TestUserManager","test_user_permissions","",""
"","110","1.正常查询第一页用户列表","testcase.Single.UserManagement","Sun Jun 15 00:03:35 CST 2025","passed","Sun Jun 15 00:03:35 CST 2025","TestUserManager","test_user_find","",""
"","91","用户登录","testcase.Business Scenario","Sun Jun 15 00:03:34 CST 2025","passed","Sun Jun 15 00:03:34 CST 2025","TestUserManager","test_user_permissions","",""
"","12","8.页码小于1","testcase.Single.UserManagement","Sun Jun 15 00:03:36 CST 2025","passed","Sun Jun 15 00:03:36 CST 2025","TestUserManager","test_user_find","",""
"","274","查询用户权限-超级管理员","testcase.Business Scenario","Sun Jun 15 00:03:33 CST 2025","passed","Sun Jun 15 00:03:33 CST 2025","TestUserManager","test_user_permissions","",""
"","31","10.参数类型错误","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_find","",""
"","270","查询用户组合权限-权限管理员+普通用户","testcase.Business Scenario","Sun Jun 15 00:03:34 CST 2025","passed","Sun Jun 15 00:03:34 CST 2025","TestUserManager","test_user_permissions","",""
"","31","12.每页条数小于0","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_find","",""
"","92","登录成功","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_login","",""
"","92","查询用户权限-无权限用户","testcase.Business Scenario","Sun Jun 15 00:03:35 CST 2025","broken","Sun Jun 15 00:03:35 CST 2025","TestUserManager","test_user_permissions","",""
"","244","查询用户权限-课程管理员","testcase.Business Scenario","Sun Jun 15 00:03:33 CST 2025","passed","Sun Jun 15 00:03:34 CST 2025","TestUserManager","test_user_permissions","",""
"","80","非手机号码","testcase.Single.UserManagement","Sun Jun 15 00:03:38 CST 2025","passed","Sun Jun 15 00:03:38 CST 2025","TestUserManager","test_user_login","",""
"","30","15.时间范围格式错误","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_find","",""
"","31","14.搜索不存在的用户","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_find","",""
"","34","13.页码超出范围","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_find","",""
"","109","密码错误","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_login","",""
"","34","8.缺少必填参数pageSize","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_find","",""
"","119","2.正常搜索-按时间范围","testcase.Single.UserManagement","Sun Jun 15 00:03:36 CST 2025","passed","Sun Jun 15 00:03:36 CST 2025","TestUserManager","test_user_find","",""
"","38","4.缺少必填参数currentPage","testcase.Single.UserManagement","Sun Jun 15 00:03:36 CST 2025","passed","Sun Jun 15 00:03:36 CST 2025","TestUserManager","test_user_find","",""
"","32","6.请求参数为空","testcase.Single.UserManagement","Sun Jun 15 00:03:36 CST 2025","passed","Sun Jun 15 00:03:36 CST 2025","TestUserManager","test_user_find","",""
"","12","7.参数类型错误","testcase.Single.UserManagement","Sun Jun 15 00:03:36 CST 2025","passed","Sun Jun 15 00:03:36 CST 2025","TestUserManager","test_user_find","",""
"","98","3.每页显示5条数据","testcase.Single.UserManagement","Sun Jun 15 00:03:36 CST 2025","passed","Sun Jun 15 00:03:36 CST 2025","TestUserManager","test_user_find","",""
"","35","16.验证分页信息完整性","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_find","",""
"","128","1.正常搜索-按用户名","testcase.Single.UserManagement","Sun Jun 15 00:03:36 CST 2025","passed","Sun Jun 15 00:03:36 CST 2025","TestUserManager","test_user_find","",""
"","82","密码为空","testcase.Single.UserManagement","Sun Jun 15 00:03:38 CST 2025","passed","Sun Jun 15 00:03:38 CST 2025","TestUserManager","test_user_login","",""
"","121","3.正常搜索-组合条件","testcase.Single.UserManagement","Sun Jun 15 00:03:36 CST 2025","passed","Sun Jun 15 00:03:36 CST 2025","TestUserManager","test_user_find","",""
"","89","用户登录","testcase.Business Scenario","Sun Jun 15 00:03:34 CST 2025","passed","Sun Jun 15 00:03:35 CST 2025","TestUserManager","test_user_permissions","",""
"","90","用户登录","testcase.Business Scenario","Sun Jun 15 00:03:33 CST 2025","passed","Sun Jun 15 00:03:33 CST 2025","TestUserManager","test_user_permissions","",""
"","106","4更新课程状态（上架/下架）","testcase.Business Scenario","Sun Jun 15 00:03:31 CST 2025","passed","Sun Jun 15 00:03:31 CST 2025","TestEBusinessScenario","test_course_scenario","",""
"","31","11.页码小于1","testcase.Single.UserManagement","Sun Jun 15 00:03:37 CST 2025","passed","Sun Jun 15 00:03:37 CST 2025","TestUserManager","test_user_find","",""
"","170","1查询课程","testcase.Business Scenario","Sun Jun 15 00:03:30 CST 2025","passed","Sun Jun 15 00:03:31 CST 2025","TestEBusinessScenario","test_course_scenario","",""
"","32","5.缺少必填参数pageSize","testcase.Single.UserManagement","Sun Jun 15 00:03:36 CST 2025","passed","Sun Jun 15 00:03:36 CST 2025","TestUserManager","test_user_find","",""
"","89","用户登录","testcase.Business Scenario","Sun Jun 15 00:03:33 CST 2025","passed","Sun Jun 15 00:03:33 CST 2025","TestUserManager","test_user_permissions","",""
"","91","查询用户权限-无效Authorization","testcase.Business Scenario","Sun Jun 15 00:03:35 CST 2025","passed","Sun Jun 15 00:03:35 CST 2025","TestUserManager","test_user_permissions","",""
