"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","M07_用户管理","6","0","C09_用户登录","0"
"0","","0","M01_课程管理（业务场景）","4","0","C01_查询/添加/修改/更新课程流程","0"
"0","","0","M05_课程管理","10","0","C06_修改课程","0"
"0","","0","M05_课程管理","9","0","C05_新增课程","0"
"0","","1","M06_用户管理","14","0","C08_搜索用户","0"
"2","","0","M02_用户管理（业务场景）","12","0","C02_查询用户权限（业务场景）","0"
"0","","0","M06_用户管理","10","0","C07_查询用户列表","0"
"2","","0","M04_课程管理","2","0","C04_根据课程ID查询课程","0"
"0","","0","M03_课程管理","1","0","C03_查询所有课程","0"
